Year,Rank,Rider,Time,Team
2018,57,Omar Fraile (ESP),"+ 2h 10' 59""",Astana
2018,58,Wout Poels (NED),"+ 2h 13' 23""",Team Sky
2018,59,Tom-Jelte Slagter (NED),"+ 2h 13' 58""",Team Dimension Data
2018,60,Franco Pellizotti (ITA),"+ 2h 17' 32""",Bahrain–Merida
2018,61,Pavel Kochetkov (RUS),"+ 2h 17' 52""",Team Katusha–Alpecin
2018,62,Marc Soler (ESP),"+ 2h 18' 51""",Movistar Team
2018,63,Jasper Stuyven (BEL),"+ 2h 20' 24""",Trek–Segafredo
2018,64,Marco Minnaard (NED),"+ 2h 20' 31""",Wanty–Groupe Gobert
2018,65,Thomas De Gendt (BEL),"+ 2h 24' 41""",Lotto–Soudal
2018,66,Oliver Naesen (BEL),"+ 2h 29' 36""",AG2R La Mondiale
2018,67,Nikias Arndt (GER),"+ 2h 32' 02""",Team Sunweb
2018,68,Magnus Cort (DEN),"+ 2h 32' 26""",Astana
2018,69,Darwin Atapuma (COL),"+ 2h 35' 47""",UAE Team Emirates
2018,70,Jonathan Castroviejo (ESP),"+ 2h 36' 06""",Team Sky
2018,71,Peter Sagan (SVK),"+ 2h 38' 08""",Bora–Hansgrohe
2018,72,Chad Haga (USA),"+ 2h 39' 40""",Team Sunweb
2018,73,Romain Sicard (FRA),"+ 2h 42' 53""",Direct Énergie
2018,74,Tobias Ludvigsson (SWE),"+ 2h 45' 40""",Groupama–FDJ
2018,75,Julien Vermote (BEL),"+ 2h 45' 57""",Team Dimension Data
2018,76,Gregor Mühlberger (AUT),"+ 2h 46' 13""",Bora–Hansgrohe
2018,77,Imanol Erviti (ESP),"+ 2h 47' 46""",Movistar Team
2018,78,Koen de Kort (NED),"+ 2h 48' 29""",Trek–Segafredo
2018,79,Ian Boswell (USA),"+ 2h 51' 47""",Team Katusha–Alpecin
2018,80,Yves Lampaert (BEL),"+ 2h 52' 37""",Quick-Step Floors
2018,81,Paul Martens (GER),"+ 2h 52' 46""",LottoNL–Jumbo
2018,82,Toms Skujiņš (LAT),"+ 2h 53' 41""",Trek–Segafredo
2018,83,Silvan Dillier (SUI),"+ 2h 55' 15""",AG2R La Mondiale
2018,84,Edvald Boasson Hagen (NOR),"+ 2h 57' 00""",Team Dimension Data
2018,85,Anthony Perez (FRA),"+ 2h 58' 56""",Cofidis
2018,86,Élie Gesbert (FRA),"+ 3h 00' 48""",Fortuneo–Samsic
2018,87,Nils Politt (GER),"+ 3h 00' 54""",Team Katusha–Alpecin
2018,88,Edward Theuns (BEL),"+ 3h 02' 15""",Team Sunweb
2018,89,Thomas Boudat (FRA),"+ 3h 04' 07""",Direct Énergie
2018,90,Michael Schär (SUI),"+ 3h 04' 14""",BMC Racing Team
2018,91,Yoann Offredo (FRA),"+ 3h 04' 27""",Wanty–Groupe Gobert
2018,92,Marcus Burghardt (GER),"+ 3h 04' 48""",Bora–Hansgrohe
2018,93,Jérôme Cousin (FRA),"+ 3h 05' 34""",Direct Énergie
2018,94,Paweł Poljański (POL),"+ 3h 07' 14""",Bora–Hansgrohe
2018,95,Andrea Pasqualon (ITA),"+ 3h 09' 34""",Wanty–Groupe Gobert
2018,96,Kévin Ledanois (FRA),"+ 3h 11' 55""",Fortuneo–Samsic
2018,97,Dion Smith (NZL),"+ 3h 12' 24""",Wanty–Groupe Gobert
2018,98,Laurent Pichon (FRA),"+ 3h 12' 46""",Fortuneo–Samsic
2018,99,Florian Vachon (FRA),"+ 3h 13' 47""",Fortuneo–Samsic
2018,100,Simon Clarke (AUS),"+ 3h 15' 40""",EF Education First–Drapac p/b Cannondale
2018,101,Julien Simon (FRA),"+ 3h 15' 55""",Cofidis
2018,102,Kristijan Koren (SLO),"+ 3h 16' 54""",Bahrain–Merida
2018,103,Tomasz Marczyński (POL),"+ 3h 19' 10""",Lotto–Soudal
2018,104,Daniele Bennati (ITA),"+ 3h 19' 22""",Movistar Team
2018,105,Romain Hardy (FRA),"+ 3h 19' 49""",Fortuneo–Samsic
2018,106,Rory Sutherland (AUS),"+ 3h 21' 22""",UAE Team Emirates
2018,107,Simon Gerrans (AUS),"+ 3h 21' 37""",BMC Racing Team
2018,108,Mathew Hayman (AUS),"+ 3h 21' 55""",Mitchelton–Scott
2018,109,Sonny Colbrelli (ITA),"+ 3h 21' 55""",Bahrain–Merida
2018,110,Reinardt Janse van Rensburg (RSA),"+ 3h 24' 25""",Team Dimension Data
2018,111,John Degenkolb (GER),"+ 3h 26' 35""",Trek–Segafredo
2018,112,Daniel Oss (ITA),"+ 3h 32' 29""",Bora–Hansgrohe
2018,113,Michael Gogl (AUT),"+ 3h 32' 54""",Trek–Segafredo
2018,114,Alexander Kristoff (NOR),"+ 3h 33' 33""",UAE Team Emirates
2018,115,Sep Vanmarcke (BEL),"+ 3h 34' 17""",EF Education First–Drapac p/b Cannondale
2018,116,Anthony Turgis (FRA),"+ 3h 36' 11""",Cofidis
2018,117,Michael Hepburn (AUS),"+ 3h 36' 30""",Mitchelton–Scott
2018,118,Luke Durbridge (AUS),"+ 3h 37' 21""",Mitchelton–Scott
2018,119,Niki Terpstra (NED),"+ 3h 37' 31""",Quick-Step Floors
2018,120,Fabien Grellier (FRA),"+ 3h 37' 56""",Direct Énergie
2018,121,Jack Bauer (NZL),"+ 3h 39' 02""",Mitchelton–Scott
2018,122,Maciej Bodnar (POL),"+ 3h 39' 20""",Bora–Hansgrohe
2018,123,Guillaume Van Keirsbulck (BEL),"+ 3h 40' 30""",Wanty–Groupe Gobert
2018,124,Christophe Laporte (FRA),"+ 3h 41' 55""",Cofidis
2018,125,Heinrich Haussler (AUS),"+ 3h 42' 24""",Bahrain–Merida
2018,126,Marco Marcato (ITA),"+ 3h 42' 54""",UAE Team Emirates
2018,127,Olivier Le Gac (FRA),"+ 3h 49' 03""",Groupama–FDJ
2018,128,Luke Rowe (GBR),"+ 3h 50' 55""",Team Sky
2018,129,Tom Scully (NZL),"+ 3h 50' 59""",EF Education First–Drapac p/b Cannondale
2018,130,Dimitri Claeys (BEL),"+ 3h 51' 15""",Cofidis
2018,131,Timothy Dupont (BEL),"+ 3h 51' 16""",Wanty–Groupe Gobert
2018,132,Lukas Pöstlberger (AUT),"+ 3h 56' 53""",Bora–Hansgrohe
2018,133,Oliviero Troia (ITA),"+ 3h 57' 02""",UAE Team Emirates
2018,134,Ramon Sinkeldam (NED),"+ 3h 58' 01""",Groupama–FDJ
2018,135,Maximiliano Richeze (ARG),"+ 3h 58' 58""",Quick-Step Floors
2018,136,Taylor Phinney (USA),"+ 3h 59' 07""",EF Education First–Drapac p/b Cannondale
2018,137,Timo Roosen (NED),"+ 4h 01' 05""",LottoNL–Jumbo
2018,138,Roberto Ferrari (ITA),"+ 4h 01' 34""",UAE Team Emirates
2018,139,Amund Grøndahl Jansen (NOR),"+ 4h 02' 04""",LottoNL–Jumbo
2018,140,Damien Gaudin (FRA),"+ 4h 02' 07""",Direct Énergie
2018,141,Arnaud Démare (FRA),"+ 4h 08' 18""",Groupama–FDJ
2018,142,Jasper De Buyst (BEL),"+ 4h 08' 54""",Lotto–Soudal
2018,143,Jay Thomson (RSA),"+ 4h 09' 49""",Team Dimension Data
2018,144,Jacopo Guarnieri (ITA),"+ 4h 12' 29""",Groupama–FDJ
2018,145,Lawson Craddock (USA),"+ 4h 34' 19""",EF Education First–Drapac p/b Cannondale
2019,1,Egan Bernal (COL),"82h 57' 00""",Team Ineos
2019,2,Geraint Thomas (GBR),"+ 1' 11""",Team Ineos
2019,3,Steven Kruijswijk (NED),"+ 1' 31""",Team Jumbo–Visma
2019,4,Emanuel Buchmann (GER),"+ 1' 56""",Bora–Hansgrohe
2019,5,Julian Alaphilippe (FRA),"+ 4' 05""",Deceuninck–Quick-Step
2019,6,Mikel Landa (ESP),"+ 4' 23""",Movistar Team
2019,7,Rigoberto Urán (COL),"+ 5' 15""",EF Education First
2019,8,Nairo Quintana (COL),"+ 5' 30""",Movistar Team
2019,9,Alejandro Valverde (ESP),"+ 6' 12""",Movistar Team
2019,10,Warren Barguil (FRA),"+ 7' 32""",Arkéa–Samsic
2019,11,Richie Porte (AUS),"+ 12' 42""",Trek–Segafredo
2019,12,Guillaume Martin (FRA),"+ 22' 08""",Wanty–Gobert
2019,13,David Gaudu (FRA),"+ 23' 58""",Groupama–FDJ
2019,14,Fabio Aru (ITA),"+ 27' 36""",UAE Team Emirates
2019,15,Romain Bardet (FRA),"+ 30' 23""",AG2R La Mondiale
2019,16,Roman Kreuziger (CZE),"+ 36' 09""",Team Dimension Data
2019,17,Sébastien Reichenbach (SUI),"+ 44' 29""",Groupama–FDJ
2019,18,Dan Martin (IRL),"+ 45' 21""",UAE Team Emirates
2019,19,Alexey Lutsenko (KAZ),"+ 48' 52""",Astana
2019,20,Jesús Herrada (ESP),"+ 51' 57""",Cofidis
2019,21,Xandro Meurisse (BEL),"+ 56' 47""",Wanty–Gobert
2019,22,Enric Mas (ESP),"+ 58' 20""",Deceuninck–Quick-Step
2019,23,Laurens De Plus (BEL),"+ 1h 02' 44""",Team Jumbo–Visma
2019,24,George Bennett (NZL),"+ 1h 04' 40""",Team Jumbo–Visma
2019,25,Gregor Mühlberger (AUT),"+ 1h 04' 40""",Bora–Hansgrohe
2019,26,Wout Poels (NED),"+ 1h 12' 25""",Team Ineos
2019,27,Tanel Kangert (EST),"+ 1h 12' 36""",EF Education First
2019,28,Bauke Mollema (NED),"+ 1h 14' 58""",Trek–Segafredo
2019,29,Adam Yates (GBR),"+ 1h 16' 50""",Mitchelton–Scott
2019,30,Julien Bernard (FRA),"+ 1h 20' 07""",Trek–Segafredo
2019,31,Giulio Ciccone (ITA),"+ 1h 20' 49""",Trek–Segafredo
2019,32,Michael Woods (CAN),"+ 1h 21' 00""",EF Education First
2019,33,Rudy Molard (FRA),"+ 1h 21' 17""",Groupama–FDJ
2019,34,Mikaël Cherel (FRA),"+ 1h 22' 32""",AG2R La Mondiale
2019,35,Patrick Konrad (AUT),"+ 1h 24' 35""",Bora–Hansgrohe
2019,36,Greg Van Avermaet (BEL),"+ 1h 27' 56""",CCC Team
2019,37,Marc Soler (ESP),"+ 1h 35' 45""",Movistar Team
2019,38,Jack Haig (AUS),"+ 1h 36' 59""",Mitchelton–Scott
2019,39,Vincenzo Nibali (ITA),"+ 1h 37' 02""",Bahrain–Merida
2019,40,Lennard Kämna (GER),"+ 1h 39' 36""",Team Sunweb
2019,41,Alexis Vuillermoz (FRA),"+ 1h 40' 07""",AG2R La Mondiale
2019,42,Gorka Izagirre (ESP),"+ 1h 40' 17""",Astana
2019,43,Jasper Stuyven (BEL),"+ 1h 43' 42""",Trek–Segafredo
2019,44,Dylan Teuns (BEL),"+ 1h 44' 17""",Bahrain–Merida
2019,45,Nicolas Roche (IRL),"+ 1h 47' 20""",Team Sunweb
2019,46,Dylan van Baarle (NED),"+ 1h 51' 38""",Team Ineos
2019,47,Sergio Henao (COL),"+ 1h 52' 37""",UAE Team Emirates
2019,48,Mathias Frank (SUI),"+ 1h 53' 51""",AG2R La Mondiale
2019,49,Simon Yates (GBR),"+ 1h 53' 54""",Mitchelton–Scott
2019,50,Jonathan Castroviejo (ESP),"+ 1h 54' 22""",Team Ineos
2019,51,Ilnur Zakarin (RUS),"+ 1h 55' 57""",Team Katusha–Alpecin
2019,52,Matteo Trentin (ITA),"+ 1h 57' 38""",Mitchelton–Scott
2019,53,Rui Costa (POR),"+ 1h 59' 02""",UAE Team Emirates
2019,54,Pello Bilbao (ESP),"+ 1h 59' 10""",Astana
2019,55,Andrey Amador (CRC),"+ 1h 59' 55""",Movistar Team
2019,56,Tony Gallopin (FRA),"+ 2h 03' 00""",AG2R La Mondiale
2019,57,Pierre-Luc Périchon (FRA),"+ 2h 05' 35""",Cofidis
2019,58,Damiano Caruso (ITA),"+ 2h 07' 15""",Bahrain–Merida
2019,59,Tiesj Benoot (BEL),"+ 2h 07' 28""",Lotto–Soudal
2019,60,Thomas De Gendt (BEL),"+ 2h 10' 33""",Lotto–Soudal
2019,61,Simon Clarke (AUS),"+ 2h 11' 43""",EF Education First
2019,62,Ben King (USA),"+ 2h 12' 00""",Team Dimension Data
2019,63,Simon Geschke (GER),"+ 2h 13' 25""",CCC Team
2019,64,Nils Politt (GER),"+ 2h 14' 28""",Team Katusha–Alpecin
2019,65,Fabio Felline (ITA),"+ 2h 15' 03""",Trek–Segafredo
2019,66,Rein Taaramäe (EST),"+ 2h 15' 42""",Total Direct Énergie
2019,67,Michael Matthews (AUS),"+ 2h 16' 34""",Team Sunweb
2019,68,Oliver Naesen (BEL),"+ 2h 16' 43""",AG2R La Mondiale
2019,69,Alberto Bettiol (ITA),"+ 2h 19' 06""",EF Education First
2019,70,Michael Schär (SUI),"+ 2h 19' 45""",CCC Team
2019,71,Omar Fraile (ESP),"+ 2h 19' 52""",Astana
2019,72,Daryl Impey (RSA),"+ 2h 24' 58""",Mitchelton–Scott
2019,73,Joey Rosskopf (USA),"+ 2h 26' 36""",CCC Team
2019,74,Maxime Bouet (FRA),"+ 2h 28' 04""",Arkéa–Samsic
2019,75,Michael Valgren (DEN),"+ 2h 28' 07""",Team Dimension Data
2019,76,Edvald Boasson Hagen (NOR),"+ 2h 28' 19""",Team Dimension Data
2019,77,Serge Pauwels (BEL),"+ 2h 32' 14""",CCC Team
2019,78,Élie Gesbert (FRA),"+ 2h 33' 02""",Arkéa–Samsic
2019,79,Nelson Oliveira (POR),"+ 2h 35' 51""",Movistar Team
2019,80,Romain Sicard (FRA),"+ 2h 38' 26""",Total Direct Énergie
2019,81,Toms Skujiņš (LAT),"+ 2h 39' 50""",Trek–Segafredo
2019,82,Peter Sagan (SVK),"+ 2h 44' 24""",Bora–Hansgrohe
2019,83,Michał Kwiatkowski (POL),"+ 2h 46' 14""",Team Ineos
2019,84,Gianni Moscon (ITA),"+ 2h 47' 23""",Team Ineos
2019,85,Sonny Colbrelli (ITA),"+ 2h 48' 27""",Bahrain–Merida
2019,86,Natnael Berhane (ERI),"+ 2h 49' 25""",Cofidis
2019,87,Anthony Perez (FRA),"+ 2h 51' 36""",Cofidis
2019,88,Andrea Pasqualon (ITA),"+ 2h 53' 25""",Wanty–Gobert
2019,89,Daniel Oss (ITA),"+ 2h 54' 56""",Bora–Hansgrohe
2019,90,Anthony Delaplace (FRA),"+ 2h 55' 03""",Arkéa–Samsic
2019,91,Hugo Houle (CAN),"+ 2h 56' 11""",Astana
2019,92,Amaël Moinard (FRA),"+ 2h 59' 17""",Arkéa–Samsic
2019,93,Jan Tratnik (SLO),"+ 3h 00' 37""",Bahrain–Merida
2019,94,Tim Wellens (BEL),"+ 3h 01' 43""",Lotto–Soudal
2019,95,Paul Ourselin (FRA),"+ 3h 01' 47""",Total Direct Énergie
2019,96,Stefan Küng (SUI),"+ 3h 02' 38""",Groupama–FDJ
2019,97,Dries Devenyns (BEL),"+ 3h 02' 42""",Deceuninck–Quick-Step
2019,98,Jens Keukeleire (BEL),"+ 3h 03' 49""",Lotto–Soudal
2019,99,Imanol Erviti (ESP),"+ 3h 04' 34""",Movistar Team
2019,100,Stéphane Rossetto (FRA),"+ 3h 05' 15""",Cofidis
2019,101,Mike Teunissen (NED),"+ 3h 06' 54""",Team Jumbo–Visma
2019,102,Anthony Roux (FRA),"+ 3h 08' 49""",Groupama–FDJ
2019,103,Kévin Ledanois (FRA),"+ 3h 12' 17""",Total Direct Énergie
2019,104,Magnus Cort (DEN),"+ 3h 12' 22""",Astana
2019,105,Carlos Verona (ESP),"+ 3h 13' 05""",Movistar Team
2019,106,Lilian Calmejane (FRA),"+ 3h 13' 36""",Total Direct Énergie
2019,107,Vegard Stake Laengen (NOR),"+ 3h 15' 25""",UAE Team Emirates
2019,108,Julien Simon (FRA),"+ 3h 17' 08""",Cofidis
2019,109,Luke Durbridge (AUS),"+ 3h 18' 36""",Mitchelton–Scott
2019,110,Sven Erik Bystrøm (NOR),"+ 3h 19' 40""",UAE Team Emirates
2019,111,Odd Christian Eiking (NOR),"+ 3h 19' 58""",Wanty–Gobert
2019,112,Christopher Juul-Jensen (DEN),"+ 3h 22' 22""",Mitchelton–Scott
2019,113,Benoît Cosnefroy (FRA),"+ 3h 25' 57""",AG2R La Mondiale
2019,114,Iván García (ESP),"+ 3h 26' 03""",Bahrain–Merida
2019,115,Alexis Gougeard (FRA),"+ 3h 27' 10""",AG2R La Mondiale
2019,116,Nikias Arndt (GER),"+ 3h 27' 43""",Team Sunweb
2019,117,Mads Würtz Schmidt (DEN),"+ 3h 29' 22""",Team Katusha–Alpecin
2019,118,Jasper de Buyst (BEL),"+ 3h 31' 36""",Lotto–Soudal
2019,119,Matej Mohorič (SLO),"+ 3h 33' 43""",Bahrain–Merida
2019,120,Frederik Backaert (BEL),"+ 3h 34' 00""",Wanty–Gobert
2019,121,Fabien Grellier (FRA),"+ 3h 35' 12""",Total Direct Énergie
2019,122,Kasper Asgreen (DEN),"+ 3h 38' 18""",Deceuninck–Quick-Step
2019,123,Florian Vachon (FRA),"+ 3h 43' 22""",Arkéa–Samsic
2019,124,Reinardt Janse van Rensburg (RSA),"+ 3h 44' 10""",Team Dimension Data
2019,125,Koen de Kort (NED),"+ 3h 44' 48""",Trek–Segafredo
2019,126,Mathieu Ladagnous (FRA),"+ 3h 45' 11""",Groupama–FDJ
2019,127,Łukasz Wiśniowski (POL),"+ 3h 46' 34""",CCC Team
2019,128,José Gonçalves (POR),"+ 3h 47' 15""",Team Katusha–Alpecin
2019,129,Steve Cummings (GBR),"+ 3h 49' 45""",Team Dimension Data
2019,130,Elia Viviani (ITA),"+ 3h 52' 37""",Deceuninck–Quick-Step
2019,131,Anthony Turgis (FRA),"+ 3h 53' 11""",Total Direct Énergie
2019,132,Caleb Ewan (AUS),"+ 3h 54' 34""",Lotto–Soudal
2019,133,Yves Lampaert (BEL),"+ 3h 54' 37""",Deceuninck–Quick-Step
2019,134,Chad Haga (USA),"+ 3h 54' 51""",Team Sunweb
2019,135,Tom Scully (NZL),"+ 3h 56' 52""",EF Education First
2019,136,Aimé De Gendt (BEL),"+ 3h 57' 05""",Wanty–Gobert
2019,137,Niccolò Bonifazio (ITA),"+ 3h 59' 44""",Total Direct Énergie
2019,138,Kevin Van Melsen (BEL),"+ 4h 00' 20""",Wanty–Gobert
2019,139,Alexander Kristoff (NOR),"+ 4h 01' 05""",UAE Team Emirates
2019,140,Amund Grøndahl Jansen (NOR),"+ 4h 02' 02""",Team Jumbo–Visma
2019,141,Marcus Burghardt (GER),"+ 4h 02' 18""",Bora–Hansgrohe
2019,142,Maxime Monfort (BEL),"+ 4h 03' 56""",Lotto–Soudal
2019,143,William Bonnet (FRA),"+ 4h 05' 32""",Groupama–FDJ
2019,144,André Greipel (GER),"+ 4h 07' 00""",Arkéa–Samsic
2019,145,Dylan Groenewegen (NED),"+ 4h 07' 10""",Team Jumbo–Visma
2019,146,Michael Hepburn (AUS),"+ 4h 07' 32""",Mitchelton–Scott
2019,147,Lars Bak (DEN),"+ 4h 07' 48""",Team Dimension Data
2019,148,Marco Haller (AUT),"+ 4h 08' 17""",Team Katusha–Alpecin
2019,149,Maximiliano Richeze (ARG),"+ 4h 10' 05""",Deceuninck–Quick-Step
2019,150,Roger Kluge (GER),"+ 4h 13' 43""",Lotto–Soudal
2019,151,Alex Dowsett (GBR),"+ 4h 14' 39""",Team Katusha–Alpecin
2019,152,Michael Mørkøv (DEN),"+ 4h 19' 33""",Deceuninck–Quick-Step
2019,153,Jens Debusschere (BEL),"+ 4h 29' 07""",Team Katusha–Alpecin
2019,154,Yoann Offredo (FRA),"+ 4h 31' 43""",Wanty–Gobert
2019,155,Sebastian Langeveld (NED),"+ 4h 34' 23""",EF Education First
2020,1,Tadej Pogačar (SLO),"87h 20' 05""",UAE Team Emirates
2020,2,Primož Roglič (SLO),"+ 59""",Team Jumbo–Visma
2020,3,Richie Porte (AUS),"+ 3' 30""",Trek–Segafredo
2020,4,Mikel Landa (ESP),"+ 5' 58""",Bahrain–McLaren
2020,5,Enric Mas (ESP),"+ 6' 07""",Movistar Team
2020,6,Miguel Ángel López (COL),"+ 6' 47""",Astana
2020,7,Tom Dumoulin (NED),"+ 7' 48""",Team Jumbo–Visma
2020,8,Rigoberto Urán (COL),"+ 8' 02""",EF Pro Cycling
2020,9,Adam Yates (GBR),"+ 9' 25""",Mitchelton–Scott
2020,10,Damiano Caruso (ITA),"+ 14' 03""",Bahrain–McLaren
2020,11,Guillaume Martin (FRA),"+ 16' 58""",Cofidis
2020,12,Alejandro Valverde (ESP),"+ 17' 41""",Movistar Team
2020,13,Richard Carapaz (ECU),"+ 25' 53""",Ineos Grenadiers
2020,14,Warren Barguil (FRA),"+ 31' 04""",Arkéa–Samsic
2020,15,Sepp Kuss (USA),"+ 42' 20""",Team Jumbo–Visma
2020,16,Pello Bilbao (ESP),"+ 55' 56""",Bahrain–McLaren
2020,17,Nairo Quintana (COL),"+ 1h 03' 07""",Arkéa–Samsic
2020,18,Pierre Rolland (FRA),"+ 1h 08' 26""",B&B Hotels–Vital Concept
2020,19,Carlos Verona (ESP),"+ 1h 19' 54""",Movistar Team
2020,20,Wout van Aert (BEL),"+ 1h 20' 31""",Team Jumbo–Visma
2020,21,Marc Soler (ESP),"+ 1h 31' 53""",Movistar Team
2020,22,Gorka Izagirre (ESP),"+ 1h 36' 12""",Astana
2020,23,Esteban Chaves (COL),"+ 1h 38' 45""",Mitchelton–Scott
2020,24,Sébastien Reichenbach (SUI),"+ 1h 39' 27""",Groupama–FDJ
2020,25,Kenny Elissonde (FRA),"+ 1h 40' 06""",Trek–Segafredo
2020,26,Mikaël Cherel (FRA),"+ 1h 40' 51""",AG2R La Mondiale
2020,27,Valentin Madouas (FRA),"+ 1h 42' 43""",Groupama–FDJ
2020,28,Daniel Martínez (COL),"+ 1h 55' 12""",EF Pro Cycling
2020,29,Thibaut Pinot (FRA),"+ 1h 59' 54""",Groupama–FDJ
2020,30,Michał Kwiatkowski (POL),"+ 2h 06' 32""",Ineos Grenadiers
2020,31,Romain Sicard (FRA),"+ 2h 13' 02""",Total Direct Énergie
2020,32,Luis León Sánchez (ESP),"+ 2h 13' 47""",Astana
2020,33,Lennard Kämna (GER),"+ 2h 15' 39""",Bora–Hansgrohe
2020,34,George Bennett (NZL),"+ 2h 15' 49""",Team Jumbo–Visma
2020,35,Alexis Vuillermoz (FRA),"+ 2h 16' 19""",AG2R La Mondiale
2020,36,Julian Alaphilippe (FRA),"+ 2h 19' 11""",Deceuninck–Quick-Step
2020,37,Hugh Carthy (GBR),"+ 2h 20' 31""",EF Pro Cycling
2020,38,Emanuel Buchmann (GER),"+ 2h 21' 57""",Bora–Hansgrohe
2020,39,Rudy Molard (FRA),"+ 2h 26' 53""",Groupama–FDJ
2020,40,Jan Polanc (SLO),"+ 2h 29' 54""",UAE Team Emirates
2020,41,Dan Martin (IRL),"+ 2h 30' 25""",Israel Start-Up Nation
2020,42,Robert Gesink (NED),"+ 2h 30' 35""",Team Jumbo–Visma
2020,43,Bob Jungels (LUX),"+ 2h 33' 30""",Deceuninck–Quick-Step
2020,44,Jesús Herrada (ESP),"+ 2h 34' 50""",Cofidis
2020,45,Harold Tejada (COL),"+ 2h 37' 02""",Astana
2020,46,Alexey Lutsenko (KAZ),"+ 2h 39' 37""",Astana
2020,47,Hugo Houle (CAN),"+ 2h 39' 54""",Astana
2020,48,Simon Geschke (GER),"+ 2h 44' 27""",CCC Team
2020,49,Nicolas Edet (FRA),"+ 2h 48' 44""",Cofidis
2020,50,Greg Van Avermaet (BEL),"+ 2h 49' 50""",CCC Team
2020,51,Niklas Eg (DEN),"+ 2h 50' 04""",Trek–Segafredo
2020,52,Thomas De Gendt (BEL),"+ 2h 51' 56""",Lotto–Soudal
2020,53,Quentin Pacher (FRA),"+ 2h 54' 17""",B&B Hotels–Vital Concept
2020,54,Marc Hirschi (SUI),"+ 2h 54' 34""",Team Sunweb
2020,55,Nelson Oliveira (POR),"+ 3h 01' 41""",Movistar Team
2020,56,Neilson Powless (USA),"+ 3h 03' 09""",EF Pro Cycling
2020,57,Maximilian Schachmann (GER),"+ 3h 03' 28""",Bora–Hansgrohe
2020,58,Søren Kragh Andersen (DEN),"+ 3h 06' 26""",Team Sunweb
2020,59,Dylan van Baarle (NED),"+ 3h 07' 42""",Ineos Grenadiers
2020,60,Omar Fraile (ESP),"+ 3h 13' 41""",Astana
2020,61,Oliver Naesen (BEL),"+ 3h 22' 04""",AG2R La Mondiale
2020,62,Alberto Bettiol (ITA),"+ 3h 24' 55""",EF Pro Cycling
2020,63,Felix Großschartner (AUT),"+ 3h 25' 17""",Bora–Hansgrohe
2020,64,Nicolas Roche (IRL),"+ 3h 27' 13""",Team Sunweb
2020,65,Nans Peters (FRA),"+ 3h 27' 46""",AG2R La Mondiale
2020,66,Winner Anacona (COL),"+ 3h 32' 40""",Arkéa–Samsic
2020,67,Jan Hirt (CZE),"+ 3h 34' 58""",CCC Team
2020,68,Ben Hermans (BEL),"+ 3h 37' 12""",Israel Start-Up Nation
2020,69,Michael Schär (SUI),"+ 3h 38' 55""",CCC Team
2020,70,José Joaquín Rojas (ESP),"+ 3h 40' 49""",Movistar Team
2020,71,Jasper Stuyven (BEL),"+ 3h 40' 52""",Trek–Segafredo
2020,72,David de la Cruz (ESP),"+ 3h 41' 20""",UAE Team Emirates
2020,73,Michael Valgren (DEN),"+ 3h 41' 45""",NTT Pro Cycling
2020,74,Imanol Erviti (ESP),"+ 3h 48' 00""",Movistar Team
2020,75,Tiesj Benoot (BEL),"+ 3h 48' 50""",Team Sunweb
2020,76,Matej Mohorič (SLO),"+ 3h 49' 02""",Bahrain–McLaren
2020,77,Andrey Amador (CRC),"+ 3h 49' 04""",Ineos Grenadiers
2020,78,Cyril Gautier (FRA),"+ 3h 51' 57""",B&B Hotels–Vital Concept
2020,79,Matteo Trentin (ITA),"+ 3h 52' 10""",CCC Team
2020,80,Dario Cataldo (ITA),"+ 3h 52' 51""",Movistar Team
2020,81,Toms Skujiņš (LAT),"+ 3h 53' 09""",Trek–Segafredo
2020,82,Vegard Stake Laengen (NOR),"+ 3h 53' 17""",UAE Team Emirates
2020,83,Jack Bauer (NZL),"+ 4h 00' 34""",Mitchelton–Scott
2020,84,Peter Sagan (SVK),"+ 4h 04' 15""",Bora–Hansgrohe
2020,85,Krists Neilands (LAT),"+ 4h 11' 03""",Israel Start-Up Nation
2020,86,Pierre-Luc Périchon (FRA),"+ 4h 14' 28""",Cofidis
2020,87,Pavel Sivakov (RUS),"+ 4h 15' 38""",Ineos Grenadiers
2020,88,Luka Mezgec (SLO),"+ 4h 17' 07""",Mitchelton–Scott
2020,89,Jens Keukeleire (BEL),"+ 4h 18' 47""",EF Pro Cycling
2020,90,Dries Devenyns (BEL),"+ 4h 20' 41""",Deceuninck–Quick-Step
2020,91,Tejay van Garderen (USA),"+ 4h 22' 20""",EF Pro Cycling
2020,92,Casper Pedersen (DEN),"+ 4h 24' 13""",Team Sunweb
2020,93,Sonny Colbrelli (ITA),"+ 4h 24' 42""",Bahrain–McLaren
2020,94,Mathieu Ladagnous (FRA),"+ 4h 24' 52""",Groupama–FDJ
2020,95,Dayer Quintana (COL),"+ 4h 25' 50""",Arkéa–Samsic
2020,96,Cyril Barthe (FRA),"+ 4h 27' 07""",B&B Hotels–Vital Concept
2020,97,Daryl Impey (RSA),"+ 4h 28' 39""",Mitchelton–Scott
2020,98,Tom Van Asbroeck (BEL),"+ 4h 33' 17""",Israel Start-Up Nation
2020,99,Christopher Juul-Jensen (DEN),"+ 4h 34' 03""",Mitchelton–Scott
2020,100,Alessandro De Marchi (ITA),"+ 4h 34' 06""",CCC Team
